id,name,category,question,response
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Are there in-room safes for valuables?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,What entertainment facilities are available in the rooms?,Satellite TV - Air conditioning - Safe deposit box - Minibar
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Do you have Smart TVs with streaming services?,Streaming service is not available
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Can I connect my own devices to the TV?,"Yes, one of our technicians will be glad to assist you"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Are there charging ports in the rooms?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,What type of breakfast does the hotel offer?,Breathtaking breakfast buffet
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,What are the breakfast timings?,from 07:00 to 10:30 on weekdays and until 11:00 at weekends
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,Is there a swimming pool?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,Is the pool heated?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,Are there poolside services?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,Is there a fitness center?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,What equipment is available in the gym?,Bike Elliptical trainer Rowing machineInfinite steps Treadmills Vertical traction Kinesis wall Power plate Pulley Dumbbells
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,Are personal trainers available?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,Is there a space where I can make videoconference meetings?,"Yes, our fully equipped meeting rooms are at your disposal"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,Is there a quiet space for work?,Our Business Corner is at your disposal
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Information,Can I use a printer?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Reservation,Can I modify or cancel my reservation after booking?,"Yes, according to the cancellation policy"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Reservation,Are there special rates or discounts for children's stays?,"Unfortunately we don""t have any special rates or discounts for children"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Reservation,Are there age restrictions for children to stay at the hotel?,"No, except access to the Ultimate Pool and Spa, including indoor pool & fitness."
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Reservation,Do you offer family-friendly room options?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Payment and Policies,What payment methods do you accept?,"Cash & credit cards (Visa, MasterCard & American Express)"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Payment and Policies,"Is a deposit required at the time of booking? If yes, How much is the deposit?",According to the conditions
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Connectivity and Health,Is there Wi-Fi? How much does it cost?,We offer free access to the Wi-Fi
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Connectivity and Health,Is the Wi-Fi reliable for video calls?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Connectivity and Health,Can I stream movies with the Wi-Fi?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Connectivity and Health,Are there international plug adapters available?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Connectivity and Health,Do you have hand sanitizing stations?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Connectivity and Health,Are masks and gloves available?,No
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Security and Additional Services,Do you have 24/7 security staff?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Security and Additional Services,Are there security cameras on the premises?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Security and Additional Services,Is there a keycard access system?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Security and Additional Services,Are there play areas for children?,"Our yonug guests can enjoy the outdoor spaces and pool area, A Kids Suites is also available for child "
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Security and Additional Services,Do you have a babysitting service?,"We have a babysitting service, please book through our concierge."
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Security and Additional Services,Can the hotel staff assist in arranging special events or surprises (like birthday celebrations or romantic dinners)?,"Our Guest Relation team, will be happy to assist you"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Security and Additional Services,Can I arrange for a romantic room setup?,Yes
